R,G,B,Lightness,Saturation,Hue,response,outcome
195,198,164,midtone,shaded,20,54,1
204,184,150,midtone,shaded,13,48,0
191,195,174,midtone,shaded,22,53,0
148,177,169,midtone,shaded,26,40,0
140,174,163,midtone,shaded,25,38,0
212,188,148,midtone,shaded,14,52,0
211,182,186,midtone,shaded,2,51,0
215,177,178,midtone,shaded,3,49,0
196,162,149,midtone,shaded,6,40,0
184,164,122,midtone,shaded,15,38,0
215,177,165,midtone,shaded,7,47,0
200,166,161,midtone,shaded,5,41,0
175,178,196,midtone,shaded,34,46,0
216,195,159,midtone,subdued,13,54,1
150,175,183,midtone,subdued,28,41,1
187,198,164,midtone,subdued,22,52,1
126,158,194,midtone,subdued,32,34,0
211,177,145,midtone,subdued,10,47,0
201,164,128,midtone,subdued,11,40,0
186,209,181,midtone,subdued,23,58,0
187,172,125,midtone,subdued,18,40,0
185,179,194,midtone,subdued,35,46,0
177,179,203,midtone,subdued,34,47,0
224,180,164,midtone,subdued,8,50,0
229,210,149,midtone,subdued,17,63,0
203,180,137,midtone,subdued,15,46,0
128,170,149,midtone,subdued,25,35,0
207,183,201,midtone,subdued,36,51,0
206,174,187,midtone,subdued,1,47,0
195,145,145,midtone,subdued,3,33,0
226,188,179,midtone,subdued,6,54,0
241,237,224,pale,bright,13,85,1
240,237,219,pale,bright,17,83,1
244,235,208,pale,bright,16,82,0
217,234,229,pale,bright,25,79,0
243,237,217,pale,bright,15,84,0
239,225,228,pale,bright,1,78,0
229,241,238,pale,bright,27,84,0
223,230,234,pale,bright,32,78,0
218,230,233,pale,bright,29,78,0
214,225,228,pale,bright,30,75,0
242,219,219,pale,bright,3,74,0
244,222,203,pale,bright,10,75,0
243,229,220,pale,bright,7,79,0
227,237,224,pale,bright,22,82,0
243,236,231,pale,bright,6,84,0
233,225,232,pale,bright,35,77,0
235,240,214,pale,bright,20,84,0
244,226,214,pale,bright,8,77,0
237,236,230,pale,gray,14,84.073,1
238,237,228,pale,gray,9,83,1
231,230,224,pale,gray,10,79,1
232,228,214,pale,gray,13,76,1
241,238,228,pale,gray,6,85,1
231,227,214,pale,gray,12,76,1
229,231,230,pale,gray,33,80,1
203,209,208,pale,gray,30,64,1
229,224,213,pale,gray,8,75,1
207,217,222,pale,gray,31,69,1
221,213,206,pale,gray,3,68,1
207,223,221,pale,gray,28,72,0
204,204,186,pale,gray,19,60,0
240,232,217,pale,muted,12,81,0
218,227,231,pale,muted,31,75,0
245,233,202,pale,muted,16,81,0
221,226,230,pale,muted,32,76,0
242,235,211,pale,muted,15,82,0
214,231,227,pale,muted,26,78,0
227,229,232,pale,muted,33,79,0
237,229,188,pale,muted,18,76,0
243,238,205,pale,muted,17,84,0
227,238,227,pale,muted,23,83,0
239,228,218,pale,muted,7,78,0
233,233,208,pale,muted,21,79,0
238,226,213,pale,muted,10,77,0
242,228,221,pale,muted,5,81,0
237,230,179,pale,muted,19,76,0
238,218,203,pale,muted,9,72,0
229,226,231,pale,muted,34,77,0
244,229,221,pale,muted,6,80,0
233,229,215,pale,neutral,13,79,1
239,233,217,pale,neutral,14,80,1
234,230,217,pale,neutral,16,78,1
235,232,219,pale,neutral,17,79,1
239,235,227,pale,neutral,8,83,1
234,228,214,pale,neutral,12,78,1
238,237,234,pale,neutral,36,85,1
234,227,219,pale,neutral,9,77,1
236,240,235,pale,neutral,30,86,0
225,225,213,pale,neutral,20,75,0
218,220,211,pale,neutral,23,71,0
225,216,187,pale,neutral,18,68,0
228,236,233,pale,neutral,28,83,0
225,229,215,pale,neutral,21,76,0
225,234,236,pale,neutral,31,81,0
235,222,215,pale,neutral,6,74,0
221,230,215,pale,neutral,22,76,0
233,225,223,pale,neutral,1,77,0
244,240,222,pale,pure,13,85,1
244,240,218,pale,pure,14,85,1
211,229,235,pale,pure,30,78,0
241,240,214,pale,pure,16,85,0
227,237,237,pale,pure,29,83,0
219,238,224,pale,pure,24,81,0
242,233,222,pale,pure,10,82,0
244,232,225,pale,pure,7,81,0
243,236,220,pale,pure,11,83,0
243,221,205,pale,pure,9,74,0
236,240,229,pale,pure,22,86,0
245,226,222,pale,pure,5,78,0
236,241,226,pale,pure,21,85,0
237,229,232,pale,pure,36,82,0
239,240,211,pale,pure,19,83,0
222,226,236,pale,pure,33,77,0
243,233,224,pale,pure,6,82,0
242,235,225,pale,pure,8,83,0
242,239,225,pale,shaded,15,85,1
239,232,220,pale,shaded,11,80,1
234,230,215,pale,shaded,18,79,1
238,230,219,pale,shaded,9,79,1
241,237,229,pale,shaded,3,84,0
240,234,218,pale,shaded,16,82,0
237,231,210,pale,shaded,13,79,0
221,228,232,pale,shaded,32,76,0
236,241,236,pale,shaded,24,87,0
239,234,231,pale,shaded,2,83,0
225,235,229,pale,shaded,26,81,0
223,230,218,pale,shaded,23,76,0
212,227,226,pale,shaded,28,74,0
242,235,230,pale,shaded,4,84,0
223,222,229,pale,shaded,35,74,0
233,235,222,pale,shaded,22,81,0
231,225,227,pale,shaded,1,77,0
231,227,231,pale,shaded,36,77,0
241,232,216,pale,subdued,13,80,1
240,233,214,pale,subdued,16,82,1
232,230,217,pale,subdued,18,79,1
234,218,198,pale,subdued,11,72,1
216,228,232,pale,subdued,31,78,0
215,224,231,pale,subdued,32,74,0
211,229,219,pale,subdued,25,75,0
242,237,215,pale,subdued,15,84,0
244,240,210,pale,subdued,17,85,0
241,226,222,pale,subdued,6,79,0
225,232,219,pale,subdued,23,79,0
221,231,223,pale,subdued,24,78,0
234,223,210,pale,subdued,9,74,0
227,232,217,pale,subdued,22,78,0
234,236,211,pale,subdued,19,81,0
232,218,214,pale,subdued,4,72,0
236,219,210,pale,subdued,8,73,0
226,227,235,pale,subdued,34,77,0
220,140,89,saturated,bright,10,33,0
246,215,110,saturated,bright,17,66,0
174,197,113,saturated,bright,21,48,0
237,184,86,saturated,bright,15,50,0
223,172,89,saturated,bright,14,43,0
207,141,108,saturated,bright,8,32,0
190,206,97,saturated,bright,20,53,0
84,136,192,saturated,bright,32,25,0
60,133,190,saturated,bright,31,23,0
62,143,188,saturated,bright,30,26,0
236,190,99,saturated,bright,16,53,0
226,172,120,saturated,bright,12,44,0
219,128,121,saturated,bright,5,31,0
190,183,85,saturated,bright,19,44,0
104,176,130,saturated,bright,23,35,0
204,148,190,saturated,bright,36,39,0
82,167,134,saturated,bright,24,31,0
209,118,140,saturated,bright,2,29,0
167,157,141,saturated,gray,13,34,1
130,131,136,saturated,gray,33,23,1
166,151,138,saturated,gray,6,32,1
123,133,136,saturated,gray,30,23,1
147,159,169,saturated,gray,32,34,1
137,146,138,saturated,gray,21,28,1
145,133,124,saturated,gray,5,24,1
143,140,121,saturated,gray,16,26,1
160,146,139,saturated,gray,3,29,0
132,132,111,saturated,gray,19,22,0
155,142,142,saturated,gray,1,27,0
143,135,107,saturated,gray,15,24,0
94,151,169,saturated,muted,29,28,0
208,171,112,saturated,muted,15,42,0
201,163,117,saturated,muted,12,38,0
202,124,116,saturated,muted,4,27,0
175,193,149,saturated,muted,22,49,0
210,173,135,saturated,muted,11,44,0
221,151,137,saturated,muted,5,39,0
200,155,117,saturated,muted,10,36,0
180,183,128,saturated,muted,21,44,0
86,146,178,saturated,muted,30,27,0
173,184,100,saturated,muted,20,43,0
221,192,115,saturated,muted,17,52,0
192,114,129,saturated,muted,2,25,0
209,144,124,saturated,muted,6,34,0
199,160,108,saturated,muted,13,37,0
194,114,119,saturated,muted,3,25,0
194,139,161,saturated,muted,1,32,0
129,141,179,saturated,muted,33,28,0
172,154,126,saturated,neutral,13,32,1
142,167,185,saturated,neutral,31,38,1
130,144,166,saturated,neutral,32,28,1
147,154,137,saturated,neutral,23,30,1
152,129,113,saturated,neutral,9,24,0
144,147,115,saturated,neutral,20,27,0
172,152,119,saturated,neutral,16,32,0
139,141,152,saturated,neutral,34,27,0
129,135,111,saturated,neutral,22,23,0
146,138,152,saturated,neutral,36,26,0
159,144,110,saturated,neutral,17,27,0
164,148,145,saturated,neutral,4,31,0
171,155,156,saturated,neutral,2,34,0
144,144,162,saturated,neutral,35,28,0
162,147,113,saturated,neutral,18,29,0
170,136,128,saturated,neutral,5,27,0
175,154,115,saturated,neutral,15,33,0
112,203,206,saturated,pure,27,52,1
89,185,204,saturated,pure,28,43,1
255,217,120,saturated,pure,14,70,1
51,152,206,saturated,pure,30,30,1
248,235,151,saturated,pure,17,78,0
250,172,114,saturated,pure,10,49,0
249,164,142,saturated,pure,6,47,0
253,215,146,saturated,pure,13,69,0
234,144,115,saturated,pure,7,37,0
180,138,194,saturated,pure,35,33,0
242,163,125,saturated,pure,8,45,0
191,229,177,saturated,pure,22,68,0
208,231,152,saturated,pure,20,71,0
193,224,137,saturated,pure,21,64,0
29,179,148,saturated,pure,25,35,0
236,230,120,saturated,pure,18,72,0
207,219,141,saturated,pure,19,64,0
146,213,153,saturated,pure,23,55,0
184,158,120,saturated,shaded,12,34,1
122,153,156,saturated,shaded,28,29,1
108,128,150,saturated,shaded,32,21,1
170,143,122,saturated,shaded,10,30,0
90,128,158,saturated,shaded,31,21,0
142,155,136,saturated,shaded,23,31,0
124,151,147,saturated,shaded,27,28,0
157,162,134,saturated,shaded,22,35,0
109,145,133,saturated,shaded,25,25,0
137,140,163,saturated,shaded,34,27,0
130,159,150,saturated,shaded,24,31,0
176,165,130,saturated,shaded,18,36,0
184,153,107,saturated,shaded,14,34,0
180,149,164,saturated,shaded,1,34,0
169,118,115,saturated,shaded,4,22,0
173,125,118,saturated,shaded,5,25,0
168,148,107,saturated,shaded,15,30,0
174,153,107,saturated,shaded,17,33,0
194,163,119,saturated,subdued,13,38,1
99,132,150,saturated,subdued,29,22,0
112,142,149,saturated,subdued,28,25,0
177,113,90,saturated,subdued,8,21,0
157,160,115,saturated,subdued,21,32,0
145,175,136,saturated,subdued,23,37,0
186,143,104,saturated,subdued,11,30,0
93,132,177,saturated,subdued,32,23,0
122,150,130,saturated,subdued,24,27,0
193,168,124,saturated,subdued,15,39,0
160,166,103,saturated,subdued,20,35,0
201,147,135,saturated,subdued,6,35,0
193,137,120,saturated,subdued,7,29,0
181,119,112,saturated,subdued,4,24,0
207,185,137,saturated,subdued,16,48,0
209,184,113,saturated,subdued,17,47,0
142,144,180,saturated,subdued,34,30,0
175,142,165,saturated,subdued,36,31,0
243,223,182,soft,bright,14,73,1
245,222,174,soft,bright,15,72,0
191,223,223,soft,bright,27,69,0
247,234,185,soft,bright,17,79,0
163,188,219,soft,bright,32,50,0
196,221,226,soft,bright,28,70,0
242,198,167,soft,bright,10,61,0
240,231,169,soft,bright,18,76,0
239,205,180,soft,bright,11,64,0
225,221,142,soft,bright,19,68,0
236,191,201,soft,bright,2,59,0
239,196,187,soft,bright,6,61,0
219,215,228,soft,bright,34,69,0
162,212,189,soft,bright,24,58,0
243,200,194,soft,bright,5,63,0
237,199,182,soft,bright,8,61,0
242,193,192,soft,bright,4,60,0
232,210,227,soft,bright,36,69,0
209,204,194,soft,gray,14,60,1
188,183,173,soft,gray,10,48,1
189,176,160,soft,gray,7,45,1
206,193,181,soft,gray,6,53,1
195,199,189,soft,gray,21,56,1
160,183,186,soft,gray,28,46,1
165,178,183,soft,gray,29,44,1
216,222,227,soft,gray,32,72,1
177,183,161,soft,gray,20,46,1
224,221,221,soft,gray,1,73,1
166,168,151,soft,gray,19,38,1
174,171,154,soft,gray,18,40,1
188,219,219,soft,muted,27,70,1
180,208,217,soft,muted,29,60,0
231,210,173,soft,muted,14,65,0
239,215,179,soft,muted,13,69,0
229,195,130,soft,muted,16,56,0
